Summary,Ratings,Date,JobTitle,Pros,Cons
Bad experience,5.0,"Dec 19, 2022",Area Manager,You gain helpful experience and meet SOME good people.,Culture is extremely toxic and led by mostly toxic/disrespectful leadership.
Fields SA rview,4.0,"Dec 19, 2022",Senior Solutions Architect,Great leadership principles. Good compensation. Flexible work life balance. Excellent team culture. Everyone is treated as a leader.,Needed better employee benefits. Frugality sometimes feels too much stingy.
Amazon Tier 1,5.0,"Dec 19, 2022",Amazon Associate Tier I,The benefits with amazon are great,"Sometimes depending on the task you're doing, especially if you repeat it multiple times, work can get difficult."
"Inclusive, respected, opportunity for growth",5.0,"Dec 19, 2022",Product Quality Engineer,"Working at Amazon does give you busy schedule and pressure, but also plenty of growth opportunities",watch your work life balance
Pack one Shipper,1.0,"Dec 19, 2022",Packer/Shipper,"Great pay and pay schedule, flexability",1. Stand for over 10 hrs for a task that can be completed sitting down 2. My pay was messed up 3 times then I decided to resign from my position because I couldn't take the inconsistency of pay. I would look forward to a certain amount on payday and get less and have to call and create tickets. 3. Benefits take a while to start 4. The absolutely don't want you to care for your family if they fall ill. I had to care for my spouse and turned in her documentation from the doctor's office and they still held it against me. You can not care for anyone unless it's yourself until you accumulate the hours which takes forever.
Unlike any other,5.0,"Dec 19, 2022",Sr. DevOps Consultant,The culture at Amazon is unlike any other place I've worked before. Everyone is incredibly helpful and invested in *your* success and growth. The overall company's focus on ID&E and a fail-fast-and-frequently approach is amazing as well.,"Sometimes the Leadership Principles feel like they're being droned on, but that's one interesting side effect of having them be such a core focus of culture every day. Overall it's hard to state anything negative from my experience so far."
great benefits,4.0,"Dec 19, 2022",Associate,Excellent benefits and a good salary.,It has long shift hours.
Ch-ch-changes,4.0,"Dec 19, 2022",Senior Technical Recruiter,"I get to work with intelligent, caring, and forward-thinking team members. So many pain points from recruiting are resolved with tools and automation here. I love the onboarding buddy program!","I joined Amazon Ads in August and since that time I have changed Managers, changed to a new team, changed back to my old team, changed my job family focus and the role I am required to complete. All of that happened in the span of 6 weeks, and then we hit a hiring pause. I do not have enough exposure to my role to provide any cons, but if you are someone who does not operate well in a rapidly changing environment, this might not be the best company for you."
Good 👍,5.0,"Dec 19, 2022",Associate,Amazing work culture and good with life balance.,"Less pay, less recognition and growth"
Great manager,5.0,"Dec 19, 2022",Software Engineer,I have a great manager who ensures developers are doing what they love and also business needs are met.,No downside of working at Amazon
Good salary but not a good job,2.0,"Dec 19, 2022",Anonymous Employee,Salary is above average nm,Workload can be a lot and deficient management
Ehhh,3.0,"Dec 19, 2022",Lead User Experience Designer,Moving to Amazon was a good pay bump. It’s a large company so there are opportunities to move around (granted the hiring freeze/layoffs affect that).,"Very very very political. For such a large company, it’s crazy how unorganized and unstructured things are. There is this perception that whole orgs are run as mini-startups so standardized processes are hard to come by. I guess you could say then that there are plenty of opportunities to improve the way things are done, but that can be tough with the speed you are expected to ramp up on. You constantly have to show/quantify your value and that can be very arduous. If you are good at playing that game, kudos to you."
Amazing Company,5.0,"Dec 19, 2022",Anonymous Employee,- Promote Innovation - Customer Centric -Learn from failures - work life balance - work with smart people The list is long,have not experienced any yet
Great job,5.0,"Dec 19, 2022",Customer Service Representative,Work with you and your schedule,Sometimes it’s hard to get a shift
Peculiar culture,3.0,"Dec 19, 2022",Senior SDM Manager,Good pay and remote friendly.,Lack of teamwork. Easy to weponize productivity tools against your boss. Twenty ways to accomplish one thing. Huge amount of turnover. Leadership principles are used to justify poor decisions / political agendas.
Amazing company to work for,5.0,"Dec 19, 2022",Anonymous Employee,-Outstanding pay and benefits -Supportive leadership and culture -Leadership is committed to your growth and pays for learning opportunities where helpful -There is a structured on-boarding program in place that helps you through the first 90 days and you are assigned an on-boarding buddy; best on-boarding I've ever had -Diversity and Inclusion are very important to Amazon,-It's a large company so you need to focus on your business segment
Great Company!,5.0,"Dec 19, 2022",Sr Business Intelligence Engineer,Just started here over a month ago so I have been doing Onboarding tasks! So far it is so refreshing how they put a lot of emphasis on their leadership principles and inclusion/diversity.,"Just started, so no cons so far."
Amazon Employee review,3.0,"Dec 19, 2022",FC Associate,Privilege of educational Career choice Benefits,Lack of pay Lack of opportunity
Worked to the bone,3.0,"Dec 19, 2022",Recruiter,"Great learning opportunities, this was really the only plus",Insane workload Crazy expectations of what one person can do Pay is below market rate
Decent place,3.0,"Dec 19, 2022",Packer,Easy to work and good benefits,Long excruciating hours that are very harsh on your sleep if you work overnights
Challenging company,4.0,"Dec 19, 2022",Senior Finance Manager,You get challenged a lot and think logically.,Stressful and need to get used to continuous busyness
Eh,2.0,"Dec 19, 2022",Process Assistant,Meet great people and career opportunities,Number then person all the time
Good,5.0,"Dec 19, 2022",Office Staff,I have required more money,All are good & better
You own your career,5.0,"Dec 19, 2022",Senior Tax Analyst III,The leadership principles are very important and consistent with the environment and the way to work,Adapt the self service mode .
Good Healthcare Package,3.0,"Dec 19, 2022",Warehouse Worker,It Has A Decent Job Package,Overworking Workers & Expecting Roughly 200 Packages & Uncertain If Job Will Be Lost
Smooth hiring experience,5.0,"Dec 19, 2022",System Development Engineer,Great place to work Team is super helpful Smooth onboarding process Welcoming about the employee growth,"Large system, more operations, more work. But you are assigned to work 8 hours not more, so cant complain."
Good,4.0,"Dec 19, 2022",Program Manager,Lots of resources to learn and develop,Quite large can be difficult to find the into you need
